Date,Revenue
3/29/21 0:00,7511.1
3/30/21 0:00,7459.14
3/31/21 0:00,7711.07
4/01/21 0:00,8751.98
4/02/21 0:00,10373.81
4/03/21 0:00,21100.83
4/04/21 0:00,14206.84
4/05/21 0:00,5034.11
4/06/21 0:00,19305.47
4/07/21 0:00,6333.42
4/08/21 0:00,7002.85
4/09/21 0:00,10242.67
4/10/21 0:00,18846.18
4/11/21 0:00,28434.92
4/12/21 0:00,12096.33
4/13/21 0:00,12761.87
4/14/21 0:00,20550.27
4/15/21 0:00,10683.14
4/16/21 0:00,14314.24
4/17/21 0:00,6537.35
4/18/21 0:00,27928.32
4/19/21 0:00,5542.88
4/20/21 0:00,15733.26
4/21/21 0:00,7070.09
4/22/21 0:00,12789.19
4/23/21 0:00,8944.08
4/24/21 0:00,5354.13
4/25/21 0:00,15750.01
4/26/21 0:00,6202.32
4/27/21 0:00,12506.52
4/28/21 0:00,17406.21
4/29/21 0:00,14312.72
4/30/21 0:00,9648.53
5/01/21 0:00,9271.4
5/02/21 0:00,13217.73
5/03/21 0:00,16580.42
5/04/21 0:00,11232.43
5/05/21 0:00,4638.41
5/06/21 0:00,16306.28
5/07/21 0:00,16345.86
5/08/21 0:00,6268.98
5/09/21 0:00,23468.97
5/10/21 0:00,4824.87
5/11/21 0:00,10661.28
5/12/21 0:00,3656.47
5/13/21 0:00,6650.91
5/14/21 0:00,7630.48
5/15/21 0:00,8201.01
5/16/21 0:00,12977.15
5/17/21 0:00,13042.73
5/18/21 0:00,4251.84
5/19/21 0:00,10259.34
5/20/21 0:00,12850.74
5/21/21 0:00,4960.08
5/22/21 0:00,23470.1
5/23/21 0:00,11097.94
5/24/21 0:00,15399.34
5/25/21 0:00,14159.9
5/26/21 0:00,10970.7
5/27/21 0:00,12713.47
5/28/21 0:00,14703.78
5/29/21 0:00,26385.46
5/30/21 0:00,19966.11
5/31/21 0:00,50857.64
6/01/21 0:00,4972.4
6/02/21 0:00,5835.16
6/03/21 0:00,13555.27
6/04/21 0:00,10663.27
6/05/21 0:00,8446.85
6/06/21 0:00,18490.33
6/07/21 0:00,13663.6
6/08/21 0:00,4548.07
6/09/21 0:00,14720.42
6/10/21 0:00,13211.93
6/11/21 0:00,9851.51
6/12/21 0:00,6454.79
6/13/21 0:00,14195.98
6/14/21 0:00,11961.78
6/15/21 0:00,5478.59
6/16/21 0:00,10971.85
6/17/21 0:00,4420.17
6/18/21 0:00,10925.68
6/19/21 0:00,13038.84
6/20/21 0:00,6981.84
6/21/21 0:00,9061.65
6/22/21 0:00,8102.44
6/23/21 0:00,7729.05
6/24/21 0:00,17583.89
6/25/21 0:00,8512.26
6/26/21 0:00,9818.01
6/27/21 0:00,14524.85
6/28/21 0:00,15241.98
6/29/21 0:00,10484.6
6/30/21 0:00,6925.02
7/01/21 0:00,9496.12
7/02/21 0:00,8873.28
7/03/21 0:00,15919.08
7/04/21 0:00,24500.11
7/05/21 0:00,41225.63
7/06/21 0:00,5627.81
7/07/21 0:00,14504.94
7/08/21 0:00,3145.47
7/09/21 0:00,5921.12
7/10/21 0:00,8660.08
7/11/21 0:00,4513.15
7/12/21 0:00,3770.8
7/13/21 0:00,6167.31
7/14/21 0:00,5650.6
7/15/21 0:00,4493.54
7/16/21 0:00,3038.4
7/17/21 0:00,4573.55
7/18/21 0:00,3487.24
7/19/21 0:00,1951.08
7/20/21 0:00,5498
7/21/21 0:00,4073.15
7/22/21 0:00,2542.79
7/23/21 0:00,3610.23
7/24/21 0:00,4223.32
7/25/21 0:00,3882.97
7/26/21 0:00,7844.99
7/27/21 0:00,18833.06
7/28/21 0:00,11959.44
7/29/21 0:00,19086.96
7/30/21 0:00,3993.01
7/31/21 0:00,6084.56
8/01/21 0:00,1544.18
8/02/21 0:00,3368.22
8/03/21 0:00,2925.29
8/04/21 0:00,1508.82
8/05/21 0:00,2707.72
8/06/21 0:00,2499.71
8/07/21 0:00,6856.34
8/08/21 0:00,9884.04
8/09/21 0:00,4165.12
8/10/21 0:00,7379.12
8/11/21 0:00,6430.22
8/12/21 0:00,3174.22
8/13/21 0:00,3847.55
8/14/21 0:00,1534.94
8/15/21 0:00,5071.73
8/16/21 0:00,3449.74
8/17/21 0:00,5751.1
8/18/21 0:00,16454.23
8/19/21 0:00,8217.29
8/20/21 0:00,2334.64
8/21/21 0:00,6740.12
8/22/21 0:00,8495.56
8/23/21 0:00,3804.61
8/24/21 0:00,18087.26
8/25/21 0:00,3715.18
8/26/21 0:00,3623.05
8/27/21 0:00,20328.45
8/28/21 0:00,20461.49
8/29/21 0:00,7599.83
8/30/21 0:00,14508.02
8/31/21 0:00,22936.49
9/01/21 0:00,21270.16
9/02/21 0:00,6841.87
9/03/21 0:00,12340.91
9/04/21 0:00,18063.2
9/05/21 0:00,26022
9/06/21 0:00,45292.1
9/07/21 0:00,28593.21
9/08/21 0:00,12368.95
9/09/21 0:00,9925.51
9/10/21 0:00,9675.49
9/11/21 0:00,8842.6
9/12/21 0:00,7310.8
9/13/21 0:00,8619.53
9/14/21 0:00,9522.43
9/15/21 0:00,7451.77
9/16/21 0:00,4783.79
9/17/21 0:00,12802.21
9/18/21 0:00,7343.7
9/19/21 0:00,9941.85
9/20/21 0:00,13847.32
9/21/21 0:00,13036.86
9/22/21 0:00,5334.64
9/23/21 0:00,9088.51
9/24/21 0:00,13861.7
9/25/21 0:00,17778.2
9/26/21 0:00,23233.96
9/27/21 0:00,31997.73
9/28/21 0:00,19914.37
9/29/21 0:00,7899.77
9/30/21 0:00,17132.17
10/01/21 0:00,23391.08
10/02/21 0:00,30921.66
10/03/21 0:00,48200
10/04/21 0:00,18360.42
10/05/21 0:00,10525.58
10/06/21 0:00,10753.63
10/07/21 0:00,8135.88
10/08/21 0:00,12434.94
10/09/21 0:00,13428.67
10/10/21 0:00,7754.07
10/11/21 0:00,8776.4
10/12/21 0:00,21352.55
10/13/21 0:00,9859.83
10/14/21 0:00,13882.46
10/15/21 0:00,17581.74
10/16/21 0:00,25068.69
10/17/21 0:00,8015.13
10/18/21 0:00,19284.3
10/19/21 0:00,8307.81
10/20/21 0:00,14180.91
10/21/21 0:00,13958.2
10/22/21 0:00,12757.76
10/23/21 0:00,13652.25
10/24/21 0:00,20172.02
10/25/21 0:00,8746.67
10/26/21 0:00,10798.89
10/27/21 0:00,5229.74
10/28/21 0:00,8289.75
10/29/21 0:00,9001.06
10/30/21 0:00,17049.69
10/31/21 0:00,21333.29
11/01/21 0:00,14593.69
11/02/21 0:00,19880.46
11/03/21 0:00,27030.93
11/04/21 0:00,19768.44
11/05/21 0:00,10624.9
11/06/21 0:00,16098.74
11/07/21 0:00,32435.73
11/08/21 0:00,9213.91
11/09/21 0:00,52215.52
11/10/21 0:00,35835.81
11/11/21 0:00,44371.94
11/12/21 0:00,25485.53
11/13/21 0:00,41665.45
11/14/21 0:00,31137.11
11/15/21 0:00,39228.72
11/16/21 0:00,17060.37
11/17/21 0:00,47954.24
11/18/21 0:00,21811.82
11/19/21 0:00,23128.66
11/20/21 0:00,34510.94
11/21/21 0:00,39688.48
11/22/21 0:00,38072.16
11/23/21 0:00,23326.72
11/24/21 0:00,31016.79
11/25/21 0:00,47532.02
11/26/21 0:00,87413.72
11/27/21 0:00,47575.36
11/28/21 0:00,86979.2
11/29/21 0:00,78113.51
11/30/21 0:00,9664.25
12/01/21 0:00,4314.9
12/02/21 0:00,8139.17
12/03/21 0:00,4543.21
12/04/21 0:00,8062.01
12/05/21 0:00,9502.16
12/06/21 0:00,10570.62
12/07/21 0:00,5907.99
12/08/21 0:00,2915.9
12/09/21 0:00,7351.82
12/10/21 0:00,6053.1
12/11/21 0:00,14421.68
12/12/21 0:00,3070.99
12/13/21 0:00,14287.22
12/14/21 0:00,8153.97
12/15/21 0:00,4297.07
12/16/21 0:00,5834.33
12/17/21 0:00,5864.25
12/18/21 0:00,3512.66
12/19/21 0:00,10554.6
12/20/21 0:00,5317.46
12/21/21 0:00,6409.28
12/22/21 0:00,19912.99
12/23/21 0:00,8691.26
12/24/21 0:00,20475.66
12/25/21 0:00,12749.68
12/26/21 0:00,34521.18
12/27/21 0:00,19512.82
12/28/21 0:00,16926.17
12/29/21 0:00,16672.61
12/30/21 0:00,37060.89
12/31/21 0:00,25735.72
